roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,coffee_type,aroma,acidity,body,other_properties
blue_tokai,Sandalwood Estate,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/sandalwood-estate,490,1025,"sarchimor , sarchimor","washed , washed","baarbara , attikan , sandalwood",MEDIUM_DARK,"dark chocolate , prune , orange marmalade","this perennial coffee from 2023 ' s harvest , sandalwood estate , is delicious with tasting notes of rich dark chocolate , sweet prune and zesty orange marmalade . this washed coffee , with coffee beans of the sarchimor variety , was grown at a lush coffee estate in coorg . if you’ve tried our coffees from attikan and baarbara estates , you’ll love the chocolatey flavour profile of this medium - dark roast . this heavy bodied coffee has a smooth , syrupy mouthfeel which can best be enjoyed when brewed as an espresso , pour over or using an aeropress , moka pot or french press . the long , sweet aftertaste of butter biscuits and dried fruit come through beautifully when you allow the brew to cool down a little",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,coorg,,,butter biscuits and dried fruit come through beautifully when you allow the brew to cool down a little,medium,"syrupy , smooth , heavy",long aftertaste
blue_tokai,Seethargundu Estate - Light,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/seethargundu-estate-light,540,1150,"s5 , s8 , s9",washed,,LIGHT,"orange , peach and black tea",,india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,kerala,,,,medium - high,medium,""
blue_tokai,Silver Oak Cafe Blend,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/silver-oak-cafe-blend,470,1275,various,"washed + natural , washed",,MEDIUM,"hazelnut , honey , grapes","if our baristas have brewed you an espresso - based drink at any of our coffee shops , you’ll be familiar with this special offering since it’s our signature house blend ! our silver oak cafe blend features a combination of ground coffee beans , processed using either the washed or the unwashed method , to create and has a balanced profile that works well in espresso - based drinks as well as in manual brews such as aeropress , pour over or in cold brews . this versatile medium roast is named after the silver oak trees commonly found across coffee plantations in southern india . this offering is a small way of bringing our cafe experience to you",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,karnataka + tamil nadu,,,,medium,medium - high,""
corridor_seven,August Rush Blend,https://corridorseven.coffee/collections/all/products/august-rush,570,1487,"sln 795 & sln9 , sln 795 , sln9","blended , blended",,MEDIUM,"prunes , soft finish and toasted almonds","tastes like - prunes , soft finish and toasted almonds | roasting profile - espresso profile ( medium roast ) | varietal - sln 795 & sln9 | altitude - 1450 - 1524 masl | process - blended | harvest year - 2022 - 23 | location - india ( various parts ) | 100% arabica this is our in house blend that we have been working with for a long while now ! deciding it is time that this needs to be up and running for you all : ) it is something that will suit real well to for the café owners as the daily driver",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,,""
blue_tokai,South Indian Filter Blend,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/south-indian-filter-coffee,440,1365,mixed,"washed + natural , natural , washed","gowri , kerehaklu , baarbara",MEDIUM_DARK,"roasted hazelnut , toffee , cacao","our cold brew light is a seasonal blend of washed , honey and natural processed coffee beans roasted light to enhance the fruity and refreshing citrus notes with a chocolatey finish . crafted especially for a light fruity cold brew , this blend is best had black over ice , but also works well as pour over and aero press . introducing our very first south indian filter coffee blend , made especially for filter coffee lovers ! this medium - dark roast is a blend of arabica sourced from baarbara and gowri estates , and robusta from kerehaklu estate with distinctive taste notes of roasted hazelnut and toffee . this blend results in a heavy - bodied brew with sweet cocoa aromas , brownie with a dark chocolate profile , and milk pairs well . as you sip this coffee ( best suited with milk ) , you’ll enjoy the comforting aromas of cocoa and brownies . while it is best brewed using a south indian filter , it works well across other brewing methods as well . the natural coffee from gowri estate adds to this blend ' s sweetness and fruity profile , and the washed coffees from baarbara and kerehaklu make for a clean , nutty cup . if you’ve tried our vienna roast or dhak blend , you’ll love this one",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,chikmagalur & shevaroy hills,,arabica,"brownies , cocoa",low,heavy,"sweetness , fruity"
blue_tokai,The Rich & Bold Trio Pack-Coffee beans,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/the-rich-bold-trio-pack,490,,,,,,"vienna roast , french roast , silver oak",,india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,,,,,,,""
blue_tokai,Thogarihunkal Estate,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/thogarihunkal-estate,490,1200,s13 ( chandragiri ),"washed , washed",thogarihunkal,MEDIUM,"brown sugar , green grape , roasted almond","start your day with the sweet aromas of toffee from our newest harvest from thogarihunkal estate . this delicious medium roast , with flavours of brown sugar , green grape and roasted almond , tastes great when taken black or with a little bit of milk . this coffee was processed using the washed method , developing the coffee beans to have a clean flavour profile with low acidity and bitterness , and a sweet , long aftertaste of honey and raisins . you can enjoy the smooth , buttery mouthfeel of this medium - bodied coffee by brewing it as an espresso or a pour over , or by using other manual brewing methods",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,chikmagalur,,,toffee,low,"medium , buttery",sweet long aftertaste
blue_tokai,Unakki Estate,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/unakki-estate-washed,560,1204,"s13 , s9 , s795",washed,unakki,MEDIUM,"chocolate , raisins , brown spices","nestled in the picturesque joldal palya of chikmagalur , unakki estate stretches across nearly 100 acres of lush green forests . this season , the estate presents a balanced medium roast , crafted to capture the essence of its unique terroir and provide a rich , satisfying coffee experience . it opens with a sweet , honey - like aroma taking you to the delicious notes of chocolate , brown spices and raisins . with a syrupy mouthfeel and a tea - like finish , expect medium bitterness and acidity in your brew . the perfect companion to moments of quiet , or pleasantly slow mornings , our roasters recommend brewing it black , either as an espresso , pour over , or using a moka pot or an aeropress",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,chikmagalur,,,honey,medium,syrupy mouthfeel,"sweet , tea"
blue_tokai,Vienna Roast,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/vienna-roast,470,950,various,washed,,DARK,"cocoa , oaky , bitter sweet","the second darkest of our roasts , this blend , with coffee beans from karnataka and tamil nadu , has great body , low acidity , and is a favourite choice for coffee drinkers who enjoy a strong cup , with the characteristic bittersweet notes . the vienna roast is best enjoyed with milk . we recommend brewing this as an espresso or using manual brewing equipment such as moka pot , french press , or south indian filter",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,chikmagalur + shevaroys,,,,low,high,""
blue_tokai,Yellikodige Estate,https://bluetokaicoffee.com/collections/roasted-and-ground-coffee-beans/products/yellikodige-estate,580,1158,s795,washed,yellikodige,MEDIUM_DARK,"caramel , cocoa , dried fruits","spanning 152 acres at an altitude of 3 , 800 feet in the scenic aldur region of chikmagalur , yellikodige estate boasts a rich history of over a century . dedicated to organic farming , this season ' s offering from yellikodige is a delightful coffee with chocolate and nutty notes , roasted to a medium - dark perfection for an exceptional taste experience . it begins with an enticing aroma of cola and cocoa , taking you to notes of caramel , cocoa and dried fruits . a silky mouthfeel along with a heavy body make for a complete and satisfying coffee experience with this one ! our roasters recommend brewing it black , either as an espresso , pour over or using a french press or a channi",india,2024-09-10 19:09:22.661685,2024-09-15 02:38:22.877219,chikmagalur,,,"cola , cocoa",medium,"heavy body , silky mouthfeel",""
corridor_seven,Anughraha Estate Organic Natural Process,https://corridorseven.coffee/collections/all/products/anughraha-estate-organic-natural-process-1,910,1740,"s795 heirloom , s795","organic natural , sun dried , organic natural",,LIGHT,"brown sugar , vanilla & grapefruit like sourness","tastes like - brown sugar , vanilla & grapefruit like sourness | roasting profile - filter ( light roast ) | process - organic natural | varietal - s795 heirloom | altitude - 1740 masl | producer name - meera jagdish | harvest year - 2023 - 2024 | 100% arabica organic coffee producers note ~ "" a lot of love and hardwork ( and prayers too ! ) went into producing this coffee , and this is reflected in the delicate flavours and clean cup . the coffee was entirely sun dried to retain the flavours over a period of 30 days , under gentle sunshine . it has sweet after taste of honey on the palate with jasmine and almond notes . "" roasters note - "" one of our organic coffee offerings , this coffee is sophisticated yet beautiful . the profile of this coffee was created in such a way that more intricate flavours could be enhanced . roasted to be a filter roast , this coffee is exposed to a fairly low charge temperature allowing more time for it develop and keep more complex flavours intact and maintaining it to develop the sugars in a way that it aids the final experience of the cup . with tasting notes brown sugar , vanilla , grapefruit like sourness this coffee is perfect for a drip method and tastes best when brewed on a v - 60 pour over or a chemex . "" muthu , core team member",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,meera jagdish,arabica,,,,""
corridor_seven,BR!M Blend,https://corridorseven.coffee/collections/all/products/brim-blend,440,,,"washed brim blend is the coffee that defines brim . designed to match brim ' s fast - paced environment , this blend ensures good coffee delivered quickly . it fits perfectly with brim ' s quick service model , making it an ideal choice for those looking for a fast yet satisfying coffee experience . this blend embodies brim ' s spirit , offering a coffee that works well within the workflow",,MEDIUM_DARK,"cinnamon , roasted hazelnut & brown sugar",,india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,,,,,""
corridor_seven,Baarbara Estate Washed Process,https://corridorseven.coffee/collections/all/products/baarbara,510,1524,"sln - 795 , sln","washed , washed",,MEDIUM,"caramel , hint of clove and white chocolate","tastes like - caramel , hint of clove and white chocolate | roasting profile - espresso profile ( medium roast ) | varietal - sln - 795 | altitude - 1524 masl | process - washed | harvest year - 2023 | location - chikmagalur | 100% arabica our relation with this estate goes back to the days when our founder ( with literally no money ) hopped on to a bike and traveled to this estate just to establish a strong direct and transparent bond",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,chikmagalur,,arabica,,,,""
corridor_seven,Barista Forte Blend,https://corridorseven.coffee/collections/all/products/barista-forte,510,1487,washed,"blended , blended , washed",,MEDIUM,"cacao , nutmeg and traces of bayleaf","roasting profile - espresso profile ( medium roast ) | varietal - washed | altitude - 1450 - 1524 masl | process - blended | tastes like - cacao , nutmeg and traces of bayleaf | harvest year - 2023 | location - india ( various parts ) | 100% arabica we have been working on this blend for a while now ! this blend is any barista ' s best friend . it is a perfect blend for any home brewer with an espresso machine or a professional barista . it highlights the notes of cacao , nutmeg and finishes with traces of bayleaf",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,,""
corridor_seven,Cold Brew Blend - BOLD,https://corridorseven.coffee/collections/all/products/cold-brew-blend-bold,550,,,"blended , blended",,MEDIUM_DARK,"dark chocolate , caramel and bold","tastes like - dark chocolate , caramel and bold | roasting profile - espresso | process - blended | 100% arabica cold brew bold is for those who appreciate a coffee experience that stands out . this blend is created to offer a full - bodied cold brew , making it a great choice for those who simply prefer bold coffee . it ' s also perfect for making a cold brew concentrate that pairs well with milk , delivering a satisfying drink . this blend is caters to those who enjoy their coffee both as it is and mixed",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,full - bodied,""
corridor_seven,Cold Brew Blend - Light,https://corridorseven.coffee/collections/all/products/cold-brew-blend-light,550,,,"blended , blended",,MEDIUM_LIGHT,"pomelo sweetness , light body and rounded","tastes like - pomelo sweetness , light body and rounded | roasting profile - filter | process - blended | 100% arabica the perfect cold brew experience cold brew light is crafted for those who seek a different kind of cold brew experience . this blend brings out fruity and floral notes , offering a taste ideal for those who enjoy a lighter roast . perfect for experimental palates , this blend caters to those looking for something new and different in their cold brew",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,"rounded , light",""
corridor_seven,Cold Brew Blend - Regular ( March Mellow),https://corridorseven.coffee/collections/all/products/marching,550,1587,,"blended , blended , washed , natural",,MEDIUM_LIGHT,"apricot , light body and orange zest","tastes like - apricot , light body and orange zest | roasting profile - filter ( light to medium roast ) | altitude - 1524 - 1650 masl | process - blended | harvest year - 2023 | 100% arabica this cold brew blend had made a comeback after you guys requested . it comes back with a slight modification and improved blending . well next wave of coffee is here right ! has a rounded acidity and balanced body . it is a blend of washed and a natural process",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,rounded,"balanced , light",""
corridor_seven,French Roast,https://corridorseven.coffee/collections/all/products/french,460,1260,"catura , catura","washed arabica , washed",,DARK,"bold , smokey and heavy bodied","tastes like - bold , smokey and heavy bodied | roasting profile - espresso profile ( dark roast ) | varietal - catura | altitude - 1260masl | process - washed arabica | harvest year - 2023 | location - chikmagalur | 100% arabica it just gets darker here now . a few degrees darker than vienna profile . we stretch this coffee beyond the 2nd crack ( what is a crack in coffee - blogs up soon here ) also a few seconds longer and we might get fire in our drum ! so we be real careful ; ) further roasting after 2nd crack carbonizes some of the fibers in the coffee beans",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,chikmagalur,,arabica,,,"heavy , bold",""
corridor_seven,Gungegiri Estate - Honey Sundried Process,https://corridorseven.coffee/collections/all/products/sangameshwar-estate-honey-sundried-process,600,1350,"sln9 , sln9","honey sun dried , honey sun dried","gungegiri estate , gungegiri",MEDIUM_LIGHT,"grape juice , light bodied , raisins sweetness","tastes like - grape juice , light bodied , raisins sweetness | roasting profile - filter | varietal - sln9 | altitude - 1350 masl | process - honey sun dried | estate name - gungegiri estate | producer name - hamsini appadurai | harvest year - 2023 - 2024 producers note - the cherries are pulped and then fermented with their mucilage in a restricted - oxygen environment . the coffees are then slow dried on raised beds with regular aeration & consistent rolling . roasters note - this coffee , a honey sun dried , is complex and beautiful . roasted to be a filter roast , this coffee was introduced to a comparatively lower temperature and roasted with an objective to develop the complex flavours of the bean . perfect for a drip method , this coffee boasts the tasting notes of grape juice , raisin like sweetness and has a light body",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,hamsini appadurai,,,,light,""
corridor_seven,Kudiraipanjan Estate Anaerobic Natural 96 Hours,https://corridorseven.coffee/collections/all/products/kudiraipanjan-estate-anaerobic-natural-96-hours,720,1550,"selection 9 , catimore , selection 9 , catimore","anaerobic natural 96 hours , anaerobic natural",,LIGHT,"bitterlime , raspberry and short finish","tastes like - bitterlime , raspberry and short finish | roasting profile - filter ( light roast ) | altitude - 1550 masl | varietal : selection 9 , catimore | process - anaerobic natural 96 hours | producer name - p . k . ramachandran | harvest year - 2023 - 24 | 100% arabica | fermentation duration - 96 hours coffee producer ' s note : in the anaerobic natural 96 hours process , coffee fruits are transferred to a special fermentation tank where they undergo fermentation for 96 hours in anaerobic conditions . during this time , the temperature is carefully maintained below 21 degrees celsius , and the ph levels are closely monitored . after the fermentation process is complete , the coffee beans are moved to raised beds for drying",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,p . k . ramachandran,arabica,,,,""
corridor_seven,Riverdale Estate Per Diem Profile,https://corridorseven.coffee/collections/all/products/riverdale-estate-per-diem-profile,510,1450,,"washed , washed",,MEDIUM_DARK,"bold , long aftertaste with a finish of clove","tastes like - bold , long aftertaste with a finish of clove | roasting profile - espresso | brews best with - espresso machine , moka pot | altitude - 1450 masl | process - washed | harvest year - 2023 | 100% arabica by using clean spring water the coffee cherries are pulped , and the mucilage is removed from the seeds . the green beans are then immersed in clean water between 24 - 30 hours for consistency and uniformity in every batch . these coffee beans are dried in raised bed for 25 - 30 days , any defective beans are removed from the raised bed and slow dried until it reaches 11% moisture",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,,long aftertaste
corridor_seven,Kudiraipanjan Estate Lactic Fermentation Natural (110 Hrs),https://corridorseven.coffee/collections/all/products/kudiraipanjan-estate-lactic-fermented-natural,740,1550,"selection 9 , catimore , selection 9 , catimore","lactic fermentation natural , lactic fermentation natural",,LIGHT,"valencia orange , red grape and apple - like sweetness","tastes like - valencia orange , red grape and apple - like sweetness | roasting profile - filter ( light roast ) | altitude - 1550 masl | varietal : selection 9 , catimore | process - lactic fermentation natural | producer name - p . k . ramachandran | harvest year - 2023 - 24 | 100% arabica | fermentation duration - 110 hours coffee producer ' s note : in the lactic fermentation natural process , coffee fruits are transferred to a special fermentation tank where anaerobic conditions are maintained . a lactobacillus bacteria mix and yogurt are added to the coffee fruits in the fermentation tank . the temperature is kept below 22 degrees celsius , and ph and oxygen levels are carefully monitored to create an environment conducive for lactobacillus to flourish and dominate the fermentation . this fermentation process is prolonged for 110 hours . after fermentation , the coffees are moved to raised beds for drying , where they must be raked to ensure even drying . the drying process is slow , taking 18 to 28 days until the coffee reaches a moisture content of 10% to 12% . following drying , the coffees are rested for a minimum of 15 days . in the post - drying process , the coffee is hulled with great care , and the beans are completely garbled to ensure a defect - free grade",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,p . k . ramachandran,arabica,,,,""
corridor_seven,LEAN Blend,https://corridorseven.coffee/collections/all/products/lean-blend,490,,,"washed , washed",,MEDIUM_DARK,"medium bodied , hint of cinnamon & sweet finish","tastes like - medium bodied , hint of cinnamon & sweet finish | roasting profile - espresso | process - washed | harvest year - 2023 | 100% arabica lean blend is a coffee specifically curated for lean , designed to complement its menu . this blend is crafted to fit seamlessly into the workflow at lean , providing a coffee experience tailored to suit the environment and the needs of the patrons at lean , offering a blend that aligns with the location",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,medium,""
corridor_seven,Melkodige Estate - Anaerobic Naturals,https://corridorseven.coffee/collections/all/products/melkodige-estate-anaerobic-naturals-honey,740,1280,"sln 9 , sln 9","anaerobic naturals , anaerobic naturals",,LIGHT,"honeymelon , papaya & grapefruit","tastes like - honeymelon , papaya & grapefruit | roasting profile - filter ( light roast ) | altitude - 1280 masl | varietal : sln 9 | process - anaerobic naturals | producer name - aveen rodrigues | harvest year - 2023 - 24 | 100% arabica coffee producers note ~ "" we have selectively hand - picked ripe red cherries and fermented them in anoxic conditions for 70 hours . the ph was monitored and not allowed to drop below 4 by keeping the barrels in cool conditions . we expect this coffee to have a fruitier note of berries like strawberry and raspberry . "" coffee roasters note ~ "" a beautiful process and a beautiful cup . packed with notes of honeymelon , papaya and grapefruit , this coffee is carefully roasted with an optimum development ratio while controlling the graph post first crack for the desired output . suitable for a manual brew , this coffee tastes best as an iced aeropress or pour over . "" muthu - core team member",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,aveen rodrigues,arabica,,,,""
corridor_seven,Melkodige Estate - LORD 1385/1386,https://corridorseven.coffee/collections/all/products/melkodige-estate-lord,760,1280,"sln 9 , sln 9","naturals , naturals",,LIGHT,"pineapple , raisin like sweetness , white grape","tastes like - pineapple , raisin like sweetness , white grape | roasting profile - filter ( light roast ) | altitude - 1280 masl | varietal : sln 9 | process - naturals | producer name - aveen rodrigues | harvest year - 2023 - 24 | 100% arabica coffee producers note ~ "" we wanted to create something unique with our coffee and for this we took the help of little microbes called saccharomyces . these microbes break down the sugars present in the coffee pulp into alcohol and aromatic compounds called esters . esters are imbibed by the coffee beans giving them a very complex and intense flavour . the coffee will be very aromatic with floral notes and complex fruit flavour notes with wine finish . "" coffee roasters note ~ "" a coffee so beautiful you will fall in love with it , sip after sip . roasted carefully to be a light roast , this coffee was dropped at a lower charge temperature , allowing to develop an array of experiences . with notes of pineapple , raisin like sweetness and white grape , this coffee stands out when brewed using a manual brewing method and as an espresso by itself . "" muthu - core team member",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,aveen rodrigues,arabica,,,,""
corridor_seven,Ratnagiri Estate Washed Process,https://corridorseven.coffee/collections/all/products/ratnagiri-estate-washed-process,550,1350,"catuai , catuai","washed , washed",,MEDIUM,"plum , brown sugar and green apple ' s dryness","tastes like - plum , brown sugar and green apple ' s dryness | roasting profile - espresso ( medium roast ) | varietal - catuai | altitude - 1350masl | process - washed | harvest year - 2023 | 100% arabica this process has made this bean complex yet smooth on the palate . the drying on raised beds has ensured that this coffee receives even drying . we loved both the espresso ( a lungo / long shot ) and also a pourover + inverted aeropress",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,,,arabica,,,,""
corridor_seven,Riverdale Estate - Geisha,https://corridorseven.coffee/collections/all/products/riverdale-estate-geisha,900,1450,"geisha , geisha","carbonic maceration , carbonic maceration","balaraman , riverdale",LIGHT,"jasmine tea like aroma , honeysuckle , macerated plums & muskmelon","tastes like - jasmine tea like aroma , honeysuckle , macerated plums & muskmelon | roasting profile - filter ( light roast ) | altitude - 1450 masl | location : yercaud , tamil nadu | varietal : geisha | process - carbonic maceration | producer name - mohan & prakashan balaraman | 100% arabica roasting first batch on 5th july 2024 about the coffee ~ it’s 10 , 000 km journey of a seed from panama to india , that’s now our pride . meet the riverdale geisha , cultivated by the balaraman brothers in the shevaroy hills . this treasure grows at 1450 masl , nurtured with passion . with cherries boasting 30 brix and above , meticulously handpicked , and processed through carbonic maceration for 72 hours , promising an unmatched coffee experience . it’s a champion’s choice for a reason ! geisha was used by our founder & ceo , mithilesh vazalwar in the world barista championship 2022 . get ready to experience the revolution . p . s . it opens up better when it cools down",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,"tamil nadu , yercaud , shevaroy","mohan & , prakashan balaraman , mithilesh vazalwar",arabica,,,,""
kapi_kottai,Dark! Dark! Dark!,https://kapikottai.coffee/products/dark-dark-dark,490,1250,,"washed , lactic process","moganad estate , yercaud , moganad",DARK,treacle | dark chocolate| stewed berries,"the most approachable of our single estates - dark ! dark ! dark ! is back ! the density of this arabica from moganad estate lends itself really well as a dark roast . the origin character still manifests itself with a hint of stewed fruit when drunk black , though it stands up to milk as well . best brewed in a moka pot , south indian filter and as an espresso",india,2024-09-02 04:51:17.345048,2024-09-15 02:38:42.649848,,,arabica,,,,""
corridor_seven,Vienna Roast,https://corridorseven.coffee/collections/all/products/vienna,460,1260,"catura , sln - 795 , - , long , 795 , catura , sln","washed arabica , washed",,DARK,"c acao nibs , dark chocolate and long finsh","tastes like - cacao nibs , dark chocolate and long finsh | roasting profile - espresso ( dark roast ) | varietal - catura , sln - 795 | altitude - 1260masl | process - washed arabica | harvest year - 2023 | location - chikmagalur welcome to the dark side of coffee ! well in all honesty we dont judge and believe to each their own . frankly any coffee roasted this dark shall taste the same since the sugars get caramelized to an extent that you shall find smoky - toasty - roasty notes . people love it and we love you legends",india,2024-09-02 04:49:00.257422,2024-09-15 02:38:27.249300,chikmagalur,,arabica,,,,""
curious_life,AeroPress Coffee Maker,https://curiouslifecoffee.com/product/aeropress-coffee-maker/,3900,,,,,,,"made by aerobie , the company that makes flying discs for entertainment , the aeropress has inspired crazy ingenuity in variety of brew methods . the portable and lightweight aeropress brews a sweet , full - bodied cup wherever you are : at home , camping or on a road trip . this brews a cup of the most flavourful and yet least bitter coffee you’ve ever tasted . coffee snobs around the world have enjoyed the aeropress coffee maker , and have compared the brew it makes to brews made with $6000 clover coffee machines ! simple to use , easy to carry and sturdy ; kind we would recommend for all adventure - enthusiasts , travellers and soldiers who love their coffee . couple with a hand grinder and fresh curious life roast…you are set to go ! all you need is hot water to get a delicious cup of joe",india,2024-09-02 04:50:58.018975,2024-09-15 02:38:32.567557,,,,,,full - bodied,""
curious_life,Ananthgiri Hills Organic – Washed Espresso,https://curiouslifecoffee.com/product/ananthgiri-hills-organic-washed-espresso/,630,1082,sln 9 & 5,washed,,MEDIUM_DARK,,"about the origin after a gap of three years we are back in eastern ghats . these coffees are grown in tribal areas of araku valley in an eco system that not only secures financial independence for tribal families but also restores the biodiversity of the area . we bring this coffee to you through small & marginal tribal farmers mutually aided society , araku & naandi foundation , these have been crucial in helping grow coffee in this non traditional area and helping tribals families . 100% organic practices followed by meticulous picking and careful post harvest processing has always made these coffees standout . when we first brought this coffee on our shelf in 2015 , while most indian farmers were just beginning to understand specialty coffee practises , these coffees always stood out on cupping table due to the practices followed at the farm and processing",India,2024-08-31 02:00:07.681731,2024-09-15 02:38:32.567557,"araku valley , andhra pradesh",,,,,,""
curious_life,"BISON, House Blend Espresso",https://curiouslifecoffee.com/product/bison-house-blend-2/,570,,,,,,,"in the cup bison is our signature espresso blend , made with three to four arabica coffees , amazing on straight espressos as well as milk beverages . we serve it on espresso drinks at our café , loved by one and all for its complexity of flavours , full body and long lasting clean finish . recommended recipe for espresso : dose : 18 - 20 grams yield : 38 - 45 grams time : 27 - 30 seconds",india,2024-09-02 04:50:58.018975,2024-09-15 02:38:32.567557,,,arabica,,,full body,long aftertaste
curious_life,Fine Porcelain Coffee Mug 250ml,https://curiouslifecoffee.com/product/fine-porcelain-coffee-mug-250ml/,320,,,,,,,"coffee just tastes better in our porcelain coffee mugs . the heavy weight porcelain mugs are the same we feature in our café . the thick wall of the cup makes it super durable and maintains the temperature of the coffee . these gorgeous limited edition mugs are here for now but not forever , get’em while you can",india,2024-09-02 04:50:58.018975,2024-09-15 02:38:32.567557,,,,,,,""
curious_life,Fine Porcelain Coffee Mug 300ml,https://curiouslifecoffee.com/product/pair-of-coffee-mugs/,320,,,,,,,"coffee just tastes better in our porcelain coffee mugs . the heavy weight porcelain mugs are the same we feature in our café . the thick wall of the cup makes it super durable and maintains the temperature of the coffee . these gorgeous limited edition mugs are here for now but not forever , get’em while you can",india,2024-09-02 04:50:58.018975,2024-09-15 02:38:32.567557,,,,,,,""
curious_life,Fine Porcelain Espresso Cups (set of two),https://curiouslifecoffee.com/product/pair-of-espresso-cups/,550,,,,,,,"our porcelain demitasse are perfect for those delicious espressos . these are hand crafted fine porcelain cups . a great espresso shot deserves a classic porcelain cup ! these thick walled gorgeous limited edition cups are here for now but not forever , get’em while you can . txt - justify",india,2024-09-02 04:50:58.018975,2024-09-15 02:38:32.567557,,,,,,,""
